1,Tech expert says hidden iPhone setting doubles battery life,Mysterious object that appears in religious art that show Jesus really was magic
112,Mysterious object that appears in religious art that show Jesus really was magic,Stonehenge mystery deepens: Scientists say the altar stone did NOT come from Orkney as claimed - as the hunt for its place of origin continues
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_23.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_99.jpg
,Ancient paintings of Jesus holding what appears to be a wand has led some researchers to believe early Christians thought of him as a magician. This image was painted in the fourth century although the exact date is unknown and was found at the Via Anapo catacomb in Rome,The researchers analysed samples taken from Orkney's largest stone circle Ring of Brodgar (pictured) and others to see if it would be a match for the Stonehenge altar stone
113,Mysterious object that appears in religious art that show Jesus really was magic,Revealed: The key sign that indicates a woman might be a PSYCHOPATH
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_23.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_101.jpg
,Ancient paintings of Jesus holding what appears to be a wand has led some researchers to believe early Christians thought of him as a magician. This image was painted in the fourth century although the exact date is unknown and was found at the Via Anapo catacomb in Rome,While most of these on-screen psychopaths are male studies have shown that female psychopaths are more common than we think. Pictured: Jodie Comer as Villanelle in Killing Eve
114,Mysterious object that appears in religious art that show Jesus really was magic,Revealed: The key sign that indicates a woman might be a PSYCHOPATH
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_23.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_102.jpg
,Ancient paintings of Jesus holding what appears to be a wand has led some researchers to believe early Christians thought of him as a magician. This image was painted in the fourth century although the exact date is unknown and was found at the Via Anapo catacomb in Rome,Researchers from the University of Sao Paulo say that women who use minimal makeup are more likely to have this dark personality trait (stock image)
115,Social security is DOWN: Online and in-person services hit by nationwide outage,EXCLUSIVERevealed: How Boeing's faulty Starliner could crash into the ISS in worst case scenario
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_31.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_41.jpg
,The SSA pays $1.4 trillion in benefits to more than 71 million people every year,Starliner will attempt to autonomously undock from the ISS today. Experts say there's a small chance that thruster issues could cause it to crash into the space station.
116,Social security is DOWN: Online and in-person services hit by nationwide outage,EXCLUSIVERevealed: How Boeing's faulty Starliner could crash into the ISS in worst case scenario
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_31.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_42.jpg
,The SSA pays $1.4 trillion in benefits to more than 71 million people every year,The ISS is equipped with its own thrusters that it can use to maneuver away from a collision and does so several times a year.
117,Social security is DOWN: Online and in-person services hit by nationwide outage,EXCLUSIVERevealed: How Boeing's faulty Starliner could crash into the ISS in worst case scenario
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_31.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_43.jpg
,The SSA pays $1.4 trillion in benefits to more than 71 million people every year,A full timeline of Boeing's Starliner program from the singing of their massive contact to the incident that left two astronauts stranded aboard the ISS.
118,Social security is DOWN: Online and in-person services hit by nationwide outage,EXCLUSIVERevealed: How Boeing's faulty Starliner could crash into the ISS in worst case scenario
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_31.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_44.jpg
,The SSA pays $1.4 trillion in benefits to more than 71 million people every year,Starliner's thruster issues likely played a role in NASA's decision not to bring astronauts Sunita Williams (front left) and Barry Wilmore (front right) home on the spacecraft.
119,Social security is DOWN: Online and in-person services hit by nationwide outage,I'm a narcissistic sociopath - here's how to protect yourself from people like me
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_31.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_51.jpg
,The SSA pays $1.4 trillion in benefits to more than 71 million people every year,A malignant narcissist will try to exert power and control over you but there are some steps you can take including giving them the illusion of control gray rocking them and cutting contact
120,Social security is DOWN: Online and in-person services hit by nationwide outage,Would YOU spot it? Venomous spider is discovered lurking in a toddler's Duplo in terrifying playtime encounter
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_31.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_61.jpg
,The SSA pays $1.4 trillion in benefits to more than 71 million people every year,White-tailed Spiders have a dark reddish to grey cigar-shaped body and dark orange-brown banded legs
121,Social security is DOWN: Online and in-person services hit by nationwide outage,Would YOU spot it? Venomous spider is discovered lurking in a toddler's Duplo in terrifying playtime encounter
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_31.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_62.jpg
,The SSA pays $1.4 trillion in benefits to more than 71 million people every year,Sharing a photo with a spider identification page on Facebook Rowan's suspicions were confirmed
122,Social security is DOWN: Online and in-person services hit by nationwide outage,Would YOU spot it? Venomous spider is discovered lurking in a toddler's Duplo in terrifying playtime encounter
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_31.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_63.jpg
,The SSA pays $1.4 trillion in benefits to more than 71 million people every year,This is the hair-raising moment a venomous spider is discovered lurking in a toddler's Duplo at playtime
123,Social security is DOWN: Online and in-person services hit by nationwide outage,Would YOU spot it? Venomous spider is discovered lurking in a toddler's Duplo in terrifying playtime encounter
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_31.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_64.jpg
,The SSA pays $1.4 trillion in benefits to more than 71 million people every year,Mr Blair believed it was a white-tailed spider a venomous species whose bite can cause burning blisters and – occasionally – nausea vomiting and headaches
124,Social security is DOWN: Online and in-person services hit by nationwide outage,One of the largest ever alligators is caught in Mississippi with hunters planning to EAT 800lbs monster
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_31.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_71.jpg
,The SSA pays $1.4 trillion in benefits to more than 71 million people every year,Mississippi holds the hunt each year allowing participants to capture no more than two alligators
125,Social security is DOWN: Online and in-person services hit by nationwide outage,One of the largest ever alligators is caught in Mississippi with hunters planning to EAT 800lbs monster
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_31.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_72.jpg
,The SSA pays $1.4 trillion in benefits to more than 71 million people every year,The group reeled in the alligator last week in the dead of night. Officials determine the creature measured 14 feet long and weighed over 800 pounds
126,Social security is DOWN: Online and in-person services hit by nationwide outage,One of the largest ever alligators is caught in Mississippi with hunters planning to EAT 800lbs monster
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_31.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_73.jpg
,The SSA pays $1.4 trillion in benefits to more than 71 million people every year,After taking pictures with the prized gator the team took it to a local meat processing facility
127,Social security is DOWN: Online and in-person services hit by nationwide outage,One of the largest ever alligators is caught in Mississippi with hunters planning to EAT 800lbs monster
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_31.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_74.jpg
,The SSA pays $1.4 trillion in benefits to more than 71 million people every year,Brandi Robinson (pictured) also part of the winning team explained that the giant alligator was spotted 250 yards away from the boat
128,Social security is DOWN: Online and in-person services hit by nationwide outage,Urgent warning to dog owners across the UK as a Cocker Spaniel nearly DIES after inhaling a common plant - here's what to look out for
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_31.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_81.jpg
,The SSA pays $1.4 trillion in benefits to more than 71 million people every year,Mollie a six-year-old Cocker Spaniel from Norwich developed a recurring cough shortly after returning home from a walk with her owners through the Norfolk countryside
129,Social security is DOWN: Online and in-person services hit by nationwide outage,Urgent warning to dog owners across the UK as a Cocker Spaniel nearly DIES after inhaling a common plant - here's what to look out for
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_31.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_82.jpg
,The SSA pays $1.4 trillion in benefits to more than 71 million people every year,The seeds resemble tiny arrowheads and can easily attach themselves to an animal's fur and burrow into the skin
130,Social security is DOWN: Online and in-person services hit by nationwide outage,Stonehenge mystery deepens: Scientists say the altar stone did NOT come from Orkney as claimed - as the hunt for its place of origin continues
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_31.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_91.jpg
,The SSA pays $1.4 trillion in benefits to more than 71 million people every year,Researchers had previously suggested Orkney (pictured) as this area has several advanced neolithic structures such as the Ring of Brodgar Skara Brae and the Stones of Steness (shown on map)
131,Social security is DOWN: Online and in-person services hit by nationwide outage,Stonehenge mystery deepens: Scientists say the altar stone did NOT come from Orkney as claimed - as the hunt for its place of origin continues
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_31.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_92.jpg
,The SSA pays $1.4 trillion in benefits to more than 71 million people every year,nan
132,Social security is DOWN: Online and in-person services hit by nationwide outage,Stonehenge mystery deepens: Scientists say the altar stone did NOT come from Orkney as claimed - as the hunt for its place of origin continues
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_31.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_93.jpg
,The SSA pays $1.4 trillion in benefits to more than 71 million people every year,During analysis in the lab (pictured) a previous study found a remarkable similarity with the Old Red Sandstone of the Orcadian Basin in northeast Scotland. Researchers had therefore thought that Orkney itself would be the most probable origin
133,Social security is DOWN: Online and in-person services hit by nationwide outage,Stonehenge mystery deepens: Scientists say the altar stone did NOT come from Orkney as claimed - as the hunt for its place of origin continues
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_31.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_94.jpg
,The SSA pays $1.4 trillion in benefits to more than 71 million people every year,Stonehenge (pictured) is one of the most prominent prehistoric monuments in Britain
134,Social security is DOWN: Online and in-person services hit by nationwide outage,Stonehenge mystery deepens: Scientists say the altar stone did NOT come from Orkney as claimed - as the hunt for its place of origin continues
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_31.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_95.jpg
,The SSA pays $1.4 trillion in benefits to more than 71 million people every year,Last month the plot thickened as scientists made a bombshell discovery that the stone circle's altar stone (pictured beneath two large sarsen stones) could be traced back to Scotland rather than Wales
135,Social security is DOWN: Online and in-person services hit by nationwide outage,Stonehenge mystery deepens: Scientists say the altar stone did NOT come from Orkney as claimed - as the hunt for its place of origin continues
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_31.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_96.jpg
,The SSA pays $1.4 trillion in benefits to more than 71 million people every year,The origin of Stonehenge's iconic standing stones has baffled archaeologists for hundreds of years
136,Social security is DOWN: Online and in-person services hit by nationwide outage,Stonehenge mystery deepens: Scientists say the altar stone did NOT come from Orkney as claimed - as the hunt for its place of origin continues
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_31.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_97.jpg
,The SSA pays $1.4 trillion in benefits to more than 71 million people every year,The stone (circled in red) is still likely to have come from the area that encompasses parts of Inverness Thurso Orkney and parts of Shetland
137,Social security is DOWN: Online and in-person services hit by nationwide outage,Stonehenge mystery deepens: Scientists say the altar stone did NOT come from Orkney as claimed - as the hunt for its place of origin continues
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_31.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_98.jpg
,The SSA pays $1.4 trillion in benefits to more than 71 million people every year,Mineral analysis of the Orkney stones (pictured) reveals that the type of Old Red Sandstone in this area does not match that found in the altar stone
138,Social security is DOWN: Online and in-person services hit by nationwide outage,Stonehenge mystery deepens: Scientists say the altar stone did NOT come from Orkney as claimed - as the hunt for its place of origin continues
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_31.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_99.jpg
,The SSA pays $1.4 trillion in benefits to more than 71 million people every year,The researchers analysed samples taken from Orkney's largest stone circle Ring of Brodgar (pictured) and others to see if it would be a match for the Stonehenge altar stone
139,Social security is DOWN: Online and in-person services hit by nationwide outage,Revealed: The key sign that indicates a woman might be a PSYCHOPATH
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_31.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_101.jpg
,The SSA pays $1.4 trillion in benefits to more than 71 million people every year,While most of these on-screen psychopaths are male studies have shown that female psychopaths are more common than we think. Pictured: Jodie Comer as Villanelle in Killing Eve
140,Social security is DOWN: Online and in-person services hit by nationwide outage,Revealed: The key sign that indicates a woman might be a PSYCHOPATH
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_31.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_102.jpg
,The SSA pays $1.4 trillion in benefits to more than 71 million people every year,Researchers from the University of Sao Paulo say that women who use minimal makeup are more likely to have this dark personality trait (stock image)
141,EXCLUSIVERevealed: How Boeing's faulty Starliner could crash into the ISS in worst case scenario,EXCLUSIVERevealed: How Boeing's faulty Starliner could crash into the ISS in worst case scenario
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_41.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_42.jpg
,Starliner will attempt to autonomously undock from the ISS today. Experts say there's a small chance that thruster issues could cause it to crash into the space station.,The ISS is equipped with its own thrusters that it can use to maneuver away from a collision and does so several times a year.
142,EXCLUSIVERevealed: How Boeing's faulty Starliner could crash into the ISS in worst case scenario,EXCLUSIVERevealed: How Boeing's faulty Starliner could crash into the ISS in worst case scenario
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_41.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_43.jpg
,Starliner will attempt to autonomously undock from the ISS today. Experts say there's a small chance that thruster issues could cause it to crash into the space station.,A full timeline of Boeing's Starliner program from the singing of their massive contact to the incident that left two astronauts stranded aboard the ISS.
143,EXCLUSIVERevealed: How Boeing's faulty Starliner could crash into the ISS in worst case scenario,EXCLUSIVERevealed: How Boeing's faulty Starliner could crash into the ISS in worst case scenario
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_41.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_44.jpg
,Starliner will attempt to autonomously undock from the ISS today. Experts say there's a small chance that thruster issues could cause it to crash into the space station.,Starliner's thruster issues likely played a role in NASA's decision not to bring astronauts Sunita Williams (front left) and Barry Wilmore (front right) home on the spacecraft.
144,EXCLUSIVERevealed: How Boeing's faulty Starliner could crash into the ISS in worst case scenario,I'm a narcissistic sociopath - here's how to protect yourself from people like me
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_41.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_51.jpg
,Starliner will attempt to autonomously undock from the ISS today. Experts say there's a small chance that thruster issues could cause it to crash into the space station.,A malignant narcissist will try to exert power and control over you but there are some steps you can take including giving them the illusion of control gray rocking them and cutting contact
145,EXCLUSIVERevealed: How Boeing's faulty Starliner could crash into the ISS in worst case scenario,Would YOU spot it? Venomous spider is discovered lurking in a toddler's Duplo in terrifying playtime encounter
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_41.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_61.jpg
,Starliner will attempt to autonomously undock from the ISS today. Experts say there's a small chance that thruster issues could cause it to crash into the space station.,White-tailed Spiders have a dark reddish to grey cigar-shaped body and dark orange-brown banded legs
146,EXCLUSIVERevealed: How Boeing's faulty Starliner could crash into the ISS in worst case scenario,Would YOU spot it? Venomous spider is discovered lurking in a toddler's Duplo in terrifying playtime encounter
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_41.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_62.jpg
,Starliner will attempt to autonomously undock from the ISS today. Experts say there's a small chance that thruster issues could cause it to crash into the space station.,Sharing a photo with a spider identification page on Facebook Rowan's suspicions were confirmed
147,EXCLUSIVERevealed: How Boeing's faulty Starliner could crash into the ISS in worst case scenario,Would YOU spot it? Venomous spider is discovered lurking in a toddler's Duplo in terrifying playtime encounter
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_41.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_63.jpg
,Starliner will attempt to autonomously undock from the ISS today. Experts say there's a small chance that thruster issues could cause it to crash into the space station.,This is the hair-raising moment a venomous spider is discovered lurking in a toddler's Duplo at playtime
148,EXCLUSIVERevealed: How Boeing's faulty Starliner could crash into the ISS in worst case scenario,Would YOU spot it? Venomous spider is discovered lurking in a toddler's Duplo in terrifying playtime encounter
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_41.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_64.jpg
,Starliner will attempt to autonomously undock from the ISS today. Experts say there's a small chance that thruster issues could cause it to crash into the space station.,Mr Blair believed it was a white-tailed spider a venomous species whose bite can cause burning blisters and – occasionally – nausea vomiting and headaches
149,EXCLUSIVERevealed: How Boeing's faulty Starliner could crash into the ISS in worst case scenario,One of the largest ever alligators is caught in Mississippi with hunters planning to EAT 800lbs monster
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_41.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_71.jpg
,Starliner will attempt to autonomously undock from the ISS today. Experts say there's a small chance that thruster issues could cause it to crash into the space station.,Mississippi holds the hunt each year allowing participants to capture no more than two alligators
150,EXCLUSIVERevealed: How Boeing's faulty Starliner could crash into the ISS in worst case scenario,One of the largest ever alligators is caught in Mississippi with hunters planning to EAT 800lbs monster
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_41.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_72.jpg
,Starliner will attempt to autonomously undock from the ISS today. Experts say there's a small chance that thruster issues could cause it to crash into the space station.,The group reeled in the alligator last week in the dead of night. Officials determine the creature measured 14 feet long and weighed over 800 pounds
151,EXCLUSIVERevealed: How Boeing's faulty Starliner could crash into the ISS in worst case scenario,One of the largest ever alligators is caught in Mississippi with hunters planning to EAT 800lbs monster
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_41.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_73.jpg
,Starliner will attempt to autonomously undock from the ISS today. Experts say there's a small chance that thruster issues could cause it to crash into the space station.,After taking pictures with the prized gator the team took it to a local meat processing facility
152,EXCLUSIVERevealed: How Boeing's faulty Starliner could crash into the ISS in worst case scenario,One of the largest ever alligators is caught in Mississippi with hunters planning to EAT 800lbs monster
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_41.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_74.jpg
,Starliner will attempt to autonomously undock from the ISS today. Experts say there's a small chance that thruster issues could cause it to crash into the space station.,Brandi Robinson (pictured) also part of the winning team explained that the giant alligator was spotted 250 yards away from the boat
153,EXCLUSIVERevealed: How Boeing's faulty Starliner could crash into the ISS in worst case scenario,Urgent warning to dog owners across the UK as a Cocker Spaniel nearly DIES after inhaling a common plant - here's what to look out for
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_41.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_81.jpg
,Starliner will attempt to autonomously undock from the ISS today. Experts say there's a small chance that thruster issues could cause it to crash into the space station.,Mollie a six-year-old Cocker Spaniel from Norwich developed a recurring cough shortly after returning home from a walk with her owners through the Norfolk countryside
154,EXCLUSIVERevealed: How Boeing's faulty Starliner could crash into the ISS in worst case scenario,Urgent warning to dog owners across the UK as a Cocker Spaniel nearly DIES after inhaling a common plant - here's what to look out for
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_41.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_82.jpg
,Starliner will attempt to autonomously undock from the ISS today. Experts say there's a small chance that thruster issues could cause it to crash into the space station.,The seeds resemble tiny arrowheads and can easily attach themselves to an animal's fur and burrow into the skin
155,EXCLUSIVERevealed: How Boeing's faulty Starliner could crash into the ISS in worst case scenario,Stonehenge mystery deepens: Scientists say the altar stone did NOT come from Orkney as claimed - as the hunt for its place of origin continues
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_41.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_91.jpg
,Starliner will attempt to autonomously undock from the ISS today. Experts say there's a small chance that thruster issues could cause it to crash into the space station.,Researchers had previously suggested Orkney (pictured) as this area has several advanced neolithic structures such as the Ring of Brodgar Skara Brae and the Stones of Steness (shown on map)
156,EXCLUSIVERevealed: How Boeing's faulty Starliner could crash into the ISS in worst case scenario,Stonehenge mystery deepens: Scientists say the altar stone did NOT come from Orkney as claimed - as the hunt for its place of origin continues
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_41.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_92.jpg
,Starliner will attempt to autonomously undock from the ISS today. Experts say there's a small chance that thruster issues could cause it to crash into the space station.,nan
157,EXCLUSIVERevealed: How Boeing's faulty Starliner could crash into the ISS in worst case scenario,Stonehenge mystery deepens: Scientists say the altar stone did NOT come from Orkney as claimed - as the hunt for its place of origin continues
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_41.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_93.jpg
,Starliner will attempt to autonomously undock from the ISS today. Experts say there's a small chance that thruster issues could cause it to crash into the space station.,During analysis in the lab (pictured) a previous study found a remarkable similarity with the Old Red Sandstone of the Orcadian Basin in northeast Scotland. Researchers had therefore thought that Orkney itself would be the most probable origin
158,EXCLUSIVERevealed: How Boeing's faulty Starliner could crash into the ISS in worst case scenario,Stonehenge mystery deepens: Scientists say the altar stone did NOT come from Orkney as claimed - as the hunt for its place of origin continues
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_41.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_94.jpg
,Starliner will attempt to autonomously undock from the ISS today. Experts say there's a small chance that thruster issues could cause it to crash into the space station.,Stonehenge (pictured) is one of the most prominent prehistoric monuments in Britain
159,EXCLUSIVERevealed: How Boeing's faulty Starliner could crash into the ISS in worst case scenario,Stonehenge mystery deepens: Scientists say the altar stone did NOT come from Orkney as claimed - as the hunt for its place of origin continues
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_41.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_95.jpg
,Starliner will attempt to autonomously undock from the ISS today. Experts say there's a small chance that thruster issues could cause it to crash into the space station.,Last month the plot thickened as scientists made a bombshell discovery that the stone circle's altar stone (pictured beneath two large sarsen stones) could be traced back to Scotland rather than Wales
160,EXCLUSIVERevealed: How Boeing's faulty Starliner could crash into the ISS in worst case scenario,Stonehenge mystery deepens: Scientists say the altar stone did NOT come from Orkney as claimed - as the hunt for its place of origin continues
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_41.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_96.jpg
,Starliner will attempt to autonomously undock from the ISS today. Experts say there's a small chance that thruster issues could cause it to crash into the space station.,The origin of Stonehenge's iconic standing stones has baffled archaeologists for hundreds of years
161,EXCLUSIVERevealed: How Boeing's faulty Starliner could crash into the ISS in worst case scenario,Stonehenge mystery deepens: Scientists say the altar stone did NOT come from Orkney as claimed - as the hunt for its place of origin continues
,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_41.jpg,https://raw.githubusercontent.com/ayainfida/news-scrapper/main/output/images/www.dailymail.co.uk/Science/image_97.jpg
